feature,importance,abs_importance
glcm_ASM_std,-3.79798584742906,3.79798584742906
glcm_ASM_mean,3.617824189038052,3.617824189038052
glcm_energy_std,2.9542645469984588,2.9542645469984588
glcm_dissimilarity_std,2.744464962814478,2.744464962814478
glcm_dissimilarity_mean,2.2365731841330008,2.2365731841330008
glcm_contrast_std,-1.0544921848813615,1.0544921848813615
glcm_homogeneity_std,1.0038858701700826,1.0038858701700826
glcm_contrast_mean,0.9324179422965571,0.9324179422965571
glcm_correlation_std,-0.9072186067033801,0.9072186067033801
glcm_energy_mean,0.5894593139830462,0.5894593139830462
glcm_homogeneity_mean,-0.33340975725095034,0.33340975725095034
glcm_correlation_mean,-0.2979448375008185,0.2979448375008185
