model,feature_type,accuracy,accuracy,sensitivity,sensitivity,specificity,specificity,precision,precision,f1_score,f1_score,auc,auc,FP,FP,FN,FN
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Logistic Regression,Graph,0.7381371412803532,0.07399954655773919,0.7311309523809524,0.2639050038342449,0.7730532786885246,0.1867532777063815,0.7940540452776174,0.12989279991211705,0.7202009751147378,0.10837651832327992,0.8918698892466823,0.04599270882370697,36.0,30.273751006441206,43.8,45.77881606158027
Logistic Regression,Hybrid,0.8060035871964679,0.07628043048280199,0.840595238095238,0.14047896486364428,0.79,0.2352110089898005,0.8234917074076366,0.16717583271605477,0.812250596111739,0.06719177636278156,0.911275976613323,0.04628430029139463,33.6,37.633761438368076,25.0,22.0
Logistic Regression,Texture,0.8024379139072847,0.08739559867534633,0.8111507936507938,0.09311374969878512,0.81125,0.22986918834415368,0.8380949595691283,0.18311155907218504,0.8076415727393877,0.06576578132214012,0.8737984464448347,0.05626672040266878,30.2,36.77907013506459,29.6,16.831518053936787
Logistic Regression,Texture+Graph,0.7948021523178808,0.05715625154660858,0.8074801587301588,0.14584135735402765,0.8025,0.24038543269091833,0.8391104559465757,0.17678218277109597,0.7979600699510963,0.02976071723521545,0.8907186605516524,0.0413356396007756,31.6,38.461669230546924,30.6,24.42949037536395
Logistic Regression,Thermal,0.8286917770419426,0.05200417541012135,0.8374801587301587,0.16188178841249284,0.8292213114754098,0.1743210527232275,0.8504503772171159,0.13930095598785408,0.8240443711366096,0.06824336646935064,0.9228277814370284,0.05720085929298248,27.2,28.03034070431539,24.8,23.015212360523638
Logistic Regression,Thermal+Graph,0.8076134105960264,0.035161902390524864,0.8143650793650794,0.170229862530796,0.8154713114754099,0.18496654969075213,0.8397431699087248,0.1428408386524936,0.8037644228409805,0.04826994642126544,0.9232402033730158,0.046500733379281615,29.4,29.73718211263468,29.0,25.96150997149434
Logistic Regression,Thermal+Texture,0.809165838852097,0.08176567692632619,0.8431349206349207,0.13718280369686842,0.79375,0.23745887801891088,0.8265039890845761,0.17187872891978978,0.8156898098433482,0.07307771019183221,0.9209099519418423,0.04576181919637869,33.0,37.993420483025744,24.6,21.489532335534896
