metric,mean,std,ci_2.5,ci_97.5
accuracy,0.79664,0.023233581060372266,0.75,0.84
sensitivity,0.9784609141013557,0.01098547389633555,0.9558011049723757,0.9947657542793588
specificity,0.5252598912011864,0.04500109749263602,0.4435445830797322,0.6126382063882063
precision,0.7546293264395356,0.027873319455803753,0.6974662592309651,0.8078678370911684
f1_score,0.8517976964479544,0.018799607387215554,0.8140270762553126,0.8863218069493752
auc,0.9527960493085819,0.010751025900517531,0.9308390188301892,0.9722960090201392
